15/2	7+8	loop
0	1	0/7
1	1	1/7
2	1	2/7
3	1	3/7
4	1	4/7
5	1	5/7
6	1	6/7
7	X
8	2	0/7
9	2	1/7
10	2	2/7
11	2	3/7
12	2	4/7
13	2	5/7
14	2	6/7
15	X
16	3	0/6
17	3	1/6
18	3	2/6
19	3	3/6
20	3	4/6
21	3	5/6
22	4	0/7
23	X
24	4	1/7
25	4	2/7
26	4	3/7
27	4	4/7
28	4	5/7
29	4	6/7
30	5	0/6
31	X
32	5	1/6
33	5	2/6
34	5	3/6
35	5	4/6
36	5	5/6
37	6	0/7
38	6	1/7
39	X
40	6	2/7
41	6	3/7
42	6	4/7
43	6	5/7
44	6	6/7
45	7	0/6
46	7	1/6
47	X
48	7	2/6
49	7	3/6
50	7	4/6
51	7	5/6
52	8	0/7
53	8	1/7
54	8	2/7
55	X
56	8	3/7
57	8	4/7
58	8	5/7
59	8	6/7
60	9	0/6
61	9	1/6
62	9	2/6
63	X
64	9	3/6
65	9	4/6
66	9	5/6
67	10	0/7
68	10	1/7
69	10	2/7
70	10	3/7
71	X
72	10	4/7
73	10	5/7
74	10	6/7
75	11	0/6
76	11	1/6
77	11	2/6
78	11	3/6
79	X
80	11	4/6
81	11	5/6
82	12	0/7
83	12	1/7
84	12	2/7
85	12	3/7
86	12	4/7
87	X
88	12	5/7
89	12	6/7
90	13	0/6
91	13	1/6
92	13	2/6
93	13	3/6
94	13	4/6
95	X
96	13	5/6
97	14	0/7
98	14	1/7
99	14	2/7
100	14	3/7
101	14	4/7
102	14	5/7
103	X
104	14	6/7
105	15	0/6
106	15	1/6
107	15	2/6
108	15	3/6
109	15	4/6
110	15	5/6
111	X
112	16	0/7
113	16	1/7
114	16	2/7
115	16	3/7
116	16	4/7
117	16	5/7
118	16	6/7
119	X
