25/4	15+16	loop
0	1	0/6
1	1	1/6
2	1	2/6
3	1	3/6
4	1	4/6
5	1	5/6
6	2	0/6
7	2	1/6
8	2	2/6
9	2	3/6
10	2	4/6
11	2	5/6
12	3	0/5
13	3	1/5
14	3	2/5
15	X
16	3	3/5
17	3	4/5
18	4	0/6
19	4	1/6
20	4	2/6
21	4	3/6
22	4	4/6
23	4	5/6
24	X
25	5	0/6
26	5	1/6
27	5	2/6
28	5	3/6
29	5	4/6
30	5	5/6
31	X
32	6	0/5
33	6	1/5
34	6	2/5
35	6	3/5
36	6	4/5
37	7	0/6
38	7	1/6
39	7	2/6
40	7	3/6
41	7	4/6
42	7	5/6
43	8	0/5
44	8	1/5
45	8	2/5
46	8	3/5
47	X
48	8	4/5
49	9	0/6
50	9	1/6
51	X
52	9	2/6
53	9	3/6
54	9	4/6
55	9	5/6
56	10	0/6
57	10	1/6
58	10	2/6
59	10	3/6
60	10	4/6
61	10	5/6
62	11	0/5
63	X
64	11	1/5
65	11	2/5
66	11	3/5
67	11	4/5
68	12	0/6
69	12	1/6
70	12	2/6
71	12	3/6
72	12	4/6
73	12	5/6
74	13	0/6
75	13	1/6
76	13	2/6
77	X
78	13	3/6
79	X
80	13	4/6
81	13	5/6
82	14	0/5
83	14	1/5
84	14	2/5
85	14	3/5
86	14	4/5
87	15	0/6
88	15	1/6
89	15	2/6
90	15	3/6
91	15	4/6
92	15	5/6
93	16	0/5
94	16	1/5
95	X
96	16	2/5
97	16	3/5
98	16	4/5
99	17	0/6
100	17	1/6
101	17	2/6
102	17	3/6
103	17	4/6
104	X
105	17	5/6
106	18	0/6
107	18	1/6
108	18	2/6
109	18	3/6
110	18	4/6
111	X
112	18	5/6
113	19	0/5
114	19	1/5
115	19	2/5
116	19	3/5
117	19	4/5
118	20	0/6
119	20	1/6
120	20	2/6
121	20	3/6
122	20	4/6
123	20	5/6
124	21	0/6
125	21	1/6
126	21	2/6
127	X
128	21	3/6
129	21	4/6
130	21	5/6
131	X
132	22	0/5
133	22	1/5
134	22	2/5
135	22	3/5
136	22	4/5
137	23	0/6
138	23	1/6
139	23	2/6
140	23	3/6
141	23	4/6
142	23	5/6
143	X
144	24	0/5
145	24	1/5
146	24	2/5
147	24	3/5
148	24	4/5
149	25	0/6
150	25	1/6
151	25	2/6
152	25	3/6
153	25	4/6
154	25	5/6
155	26	0/6
156	26	1/6
157	X
158	26	2/6
159	X
160	26	3/6
161	26	4/6
162	26	5/6
163	27	0/5
164	27	1/5
165	27	2/5
166	27	3/5
167	27	4/5
168	28	0/6
169	28	1/6
170	28	2/6
171	28	3/6
172	28	4/6
173	28	5/6
174	29	0/6
175	X
176	29	1/6
177	29	2/6
178	29	3/6
179	29	4/6
180	29	5/6
181	30	0/5
182	30	1/5
183	30	2/5
184	X
185	30	3/5
186	30	4/5
187	31	0/6
188	31	1/6
189	31	2/6
190	31	3/6
191	X
192	31	4/6
193	31	5/6
194	32	0/5
195	32	1/5
196	32	2/5
197	32	3/5
198	32	4/5
199	33	0/6
200	33	1/6
201	33	2/6
202	33	3/6
203	33	4/6
204	33	5/6
205	34	0/6
206	34	1/6
207	X
208	34	2/6
209	34	3/6
210	34	4/6
211	X
212	34	5/6
213	35	0/5
214	35	1/5
215	35	2/5
216	35	3/5
217	35	4/5
218	36	0/6
219	36	1/6
220	36	2/6
221	36	3/6
222	36	4/6
223	X
224	36	5/6
225	37	0/6
226	37	1/6
227	37	2/6
228	37	3/6
229	37	4/6
230	37	5/6
231	38	0/5
232	38	1/5
233	38	2/5
234	38	3/5
235	38	4/5
236	39	0/6
237	X
238	39	1/6
239	X
240	39	2/6
241	39	3/6
242	39	4/6
243	39	5/6
244	40	0/5
245	40	1/5
246	40	2/5
247	40	3/5
248	40	4/5
249	41	0/6
250	41	1/6
251	41	2/6
252	41	3/6
253	41	4/6
254	41	5/6
255	X
256	42	0/6
257	42	1/6
258	42	2/6
259	42	3/6
260	42	4/6
261	42	5/6
262	43	0/5
263	43	1/5
264	X
265	43	2/5
266	43	3/5
267	43	4/5
268	44	0/6
269	44	1/6
270	44	2/6
271	X
272	44	3/6
273	44	4/6
274	44	5/6
275	45	0/6
276	45	1/6
277	45	2/6
278	45	3/6
279	45	4/6
280	45	5/6
281	46	0/5
282	46	1/5
283	46	2/5
284	46	3/5
285	46	4/5
286	47	0/6
287	X
288	47	1/6
289	47	2/6
290	47	3/6
291	X
292	47	4/6
293	47	5/6
294	48	0/5
295	48	1/5
296	48	2/5
297	48	3/5
298	48	4/5
299	49	0/6
300	49	1/6
301	49	2/6
302	49	3/6
303	X
304	49	4/6
305	49	5/6
306	50	0/6
307	50	1/6
308	50	2/6
309	50	3/6
310	50	4/6
311	50	5/6
312	51	0/5
313	51	1/5
314	51	2/5
315	51	3/5
316	51	4/5
317	X
318	52	0/6
